N,P,K,soil_moisture,temperature,humidity,ph,rainfall,soil_type,season,label
118.08,71.94,117.13,61.38,19.28,76.1,5.57,1192.15,silt,season_b,coffee
125.38,53.41,157.01,78.98,21.02,65.4,6.26,980.92,volcanic,season_b,coffee
215.57,25.75,235.48,73.11,24.85,61.4,6.46,1053.39,loam,season_b,coffee
107.92,55.37,164.1,60.03,23.58,70.9,6.06,882.8,volcanic,season_b,coffee
175.21,31.47,193.97,53.15,22.47,82.9,5.71,1804.17,silt,season_b,coffee
171.68,64.74,107.11,59.77,16.92,78.1,6.14,1002.96,silt,season_b,coffee
197.93,34.92,212.08,58.1,25.89,84.9,5.69,1345.18,volcanic,season_a,coffee
193.7,27.23,161.04,56.11,26.48,63.5,6.59,1395.21,volcanic,season_b,coffee
200.55,48.16,88.07,53.56,18.11,68.8,5.4,943.31,silt,season_a,coffee
183.73,53.15,191.78,58.09,25.31,81.9,6.34,1365.95,volcanic,season_b,coffee
169.63,35.37,91.64,62.38,19.66,62.8,5.45,1614.92,loam,season_b,coffee
161.87,54.2,101.93,62.44,18.96,75.0,5.79,908.99,silt,season_b,coffee
172.07,56.44,221.56,63.66,19.41,83.7,5.82,1303.0,volcanic,season_b,coffee
140.24,52.28,145.26,68.59,23.52,61.6,5.47,1615.95,volcanic,season_b,coffee
154.06,42.04,234.12,53.54,25.79,82.1,5.29,1397.51,loam,season_b,coffee
191.12,47.3,179.28,73.79,21.9,82.0,5.77,886.08,loam,season_b,coffee
144.99,29.48,143.89,76.4,24.07,66.9,6.33,1606.62,loam,season_b,coffee
84.52,41.04,62.05,85.29,27.01,57.1,6.66,743.13,volcanic,season_a,coffee
188.73,65.31,246.43,72.75,21.08,84.8,5.63,1829.03,silt,season_a,coffee
89.56,76.73,225.51,54.29,26.15,58.6,6.77,1211.4,silt,season_b,coffee
198.21,64.76,246.46,66.17,24.52,67.7,5.62,999.64,loam,season_a,coffee
100.34,32.06,225.64,77.06,16.61,74.8,6.07,1915.36,silt,season_b,coffee
107.68,27.01,55.97,71.02,24.34,56.5,6.3,1223.34,loam,season_a,coffee
186.63,65.9,77.45,85.27,18.94,82.5,5.99,1450.41,loam,season_a,coffee
129.69,81.67,219.94,73.27,19.0,63.3,5.37,1758.4,volcanic,season_b,tea
171.69,56.62,149.49,86.2,24.1,75.1,5.75,1347.68,volcanic,season_a,tea
127.45,54.27,179.51,71.73,23.24,64.0,5.61,2025.64,silt,season_b,tea
213.89,63.3,97.31,63.24,16.58,74.4,6.16,2199.85,peat,season_b,tea
118.38,54.3,162.18,59.15,16.04,79.1,5.4,1838.66,peat,season_a,tea
132.98,78.89,127.17,84.36,17.33,60.7,5.67,1943.66,peat,season_b,tea
182.54,71.74,135.12,63.12,17.95,63.5,5.18,1856.99,silt,season_a,tea
146.98,77.76,146.06,81.28,22.06,77.8,4.94,1186.75,silt,season_b,tea
117.84,76.89,177.99,58.47,20.49,72.5,5.63,1314.91,silt,season_b,tea
128.9,64.02,113.39,74.32,25.11,65.1,5.82,1580.34,peat,season_b,tea
156.36,70.8,132.85,62.06,20.43,60.5,5.93,2282.53,volcanic,season_b,tea
191.47,40.25,186.89,59.41,15.42,59.1,5.48,998.61,peat,season_a,tea
127.6,57.47,86.7,77.46,25.0,82.4,5.59,763.18,peat,season_a,tea
114.7,61.36,123.87,86.35,15.52,79.4,5.55,2026.19,volcanic,season_b,tea
198.79,61.13,119.95,75.97,17.7,65.6,5.76,1013.99,peat,season_a,tea
167.49,88.24,110.52,79.13,24.01,74.6,6.02,2048.56,silt,season_b,tea
148.8,62.45,98.51,58.27,16.95,70.0,5.14,1995.85,peat,season_b,tea
196.64,79.45,118.65,84.14,21.78,72.0,4.85,2190.43,volcanic,season_a,tea
206.0,63.66,82.74,87.94,17.86,83.8,5.44,2035.9,volcanic,season_b,tea
199.8,50.69,157.42,74.43,23.24,75.3,5.32,1438.31,volcanic,season_b,tea
186.96,68.78,101.1,79.62,18.57,57.9,4.78,1009.82,volcanic,season_a,tea
214.02,50.0,169.31,82.71,19.43,61.8,5.36,1384.74,volcanic,season_b,tea
121.55,65.5,184.57,78.68,16.12,59.6,5.62,1786.39,peat,season_b,tea
142.99,41.74,92.6,66.94,18.7,63.1,4.61,1164.85,volcanic,season_b,tea
114.3,36.36,157.81,75.99,23.28,80.9,4.2,1451.06,silt,season_b,tea
166.68,44.67,136.16,62.03,18.15,69.8,4.49,1509.07,peat,season_a,tea
158.54,40.37,121.2,65.15,21.16,72.8,4.72,1052.91,silt,season_b,tea
211.7,50.34,167.31,83.45,18.04,65.0,5.93,2221.23,silt,season_a,tea
137.01,65.94,178.12,71.74,16.29,66.9,4.86,2005.86,volcanic,season_a,tea
213.89,76.24,124.93,64.59,23.29,66.0,6.18,1081.25,volcanic,season_b,tea
180.93,62.89,215.23,71.12,22.4,68.2,4.8,1933.22,volcanic,season_a,tea
118.43,48.64,114.39,60.05,19.11,66.3,5.14,1769.23,silt,season_b,tea
163.96,84.39,203.23,69.56,14.66,84.1,5.69,2139.65,volcanic,season_b,tea
115.0,45.5,173.72,60.49,21.3,71.9,5.56,1853.57,volcanic,season_a,tea
143.26,36.88,214.95,80.66,25.84,75.6,5.65,1182.48,clay,season_b,banana
182.02,37.94,206.19,67.08,30.36,58.5,7.02,901.21,clay,season_a,banana
194.82,46.4,272.03,69.17,24.28,75.9,5.93,1121.97,clay,season_b,banana
131.25,50.96,190.62,82.96,31.19,77.2,6.28,1489.7,volcanic,season_a,banana
253.18,47.56,258.48,59.02,26.63,68.0,5.43,1558.84,clay,season_b,banana
210.7,54.84,310.62,59.76,27.93,79.3,5.49,845.64,loam,season_b,banana
180.67,42.55,191.61,77.37,24.85,84.0,5.85,1207.57,volcanic,season_a,banana
182.36,76.03,295.42,80.92,27.39,63.9,6.45,821.97,clay,season_a,banana
155.67,50.97,219.85,76.73,25.13,67.5,5.62,1238.12,loam,season_b,banana
219.51,71.14,306.38,91.6,25.79,69.7,5.47,1079.59,loam,season_b,banana
242.4,80.97,272.32,59.39,23.65,71.8,6.52,1273.52,clay,season_a,banana
224.38,57.39,217.1,72.28,28.43,61.6,5.44,1016.98,clay,season_b,banana
240.43,63.78,333.87,69.8,25.16,72.2,5.75,1474.49,clay,season_a,banana
230.16,57.28,226.03,67.4,27.74,74.6,5.81,1921.74,clay,season_a,banana
172.49,76.81,203.14,82.71,20.56,79.4,5.75,1730.76,loam,season_b,banana
251.99,66.35,259.48,75.02,29.1,79.4,6.91,1521.09,volcanic,season_b,banana
211.24,44.61,358.35,62.78,25.84,83.6,6.28,1957.02,volcanic,season_b,banana
253.68,73.26,347.87,87.14,29.26,58.8,6.89,1051.55,loam,season_a,banana
247.3,75.06,313.07,69.54,26.11,63.1,6.06,1317.04,volcanic,season_b,banana
188.73,71.59,308.88,83.13,24.47,69.6,6.39,1913.52,volcanic,season_a,banana
226.79,58.07,303.56,65.07,19.93,71.0,5.76,1302.06,volcanic,season_a,banana
166.67,78.91,239.96,73.37,25.95,69.6,5.91,1715.45,loam,season_b,banana
153.55,73.17,267.97,56.92,29.15,68.2,5.38,2037.58,loam,season_a,banana
244.33,50.81,340.15,83.11,20.28,65.8,5.52,1629.0,loam,season_a,banana
135.46,67.23,323.81,81.03,23.98,57.7,5.38,904.79,volcanic,season_a,banana
210.87,60.9,265.44,52.88,23.19,58.6,6.88,1670.09,loam,season_a,banana
168.56,40.94,328.24,56.19,23.46,64.0,6.05,1836.21,clay,season_a,banana
137.85,63.65,298.83,55.49,22.86,61.4,6.79,2125.58,loam,season_a,banana
251.83,36.19,188.7,80.91,26.29,66.5,7.25,1079.46,volcanic,season_b,banana
167.88,36.05,286.53,74.32,26.55,78.4,6.66,2001.16,loam,season_a,banana
157.58,66.16,207.75,65.32,27.1,78.5,6.88,949.58,volcanic,season_b,banana
162.72,67.95,182.34,86.79,17.97,65.8,5.85,1204.46,clay,season_a,banana
180.62,70.54,331.75,89.63,28.89,55.5,5.32,989.06,volcanic,season_b,banana
264.61,54.12,228.88,79.19,28.85,67.7,6.04,1642.85,loam,season_a,banana
70.77,36.79,50.65,32.18,34.27,71.1,6.36,746.69,sandy,season_c,sorghum
76.79,42.82,71.04,35.9,24.65,82.7,5.64,715.13,sandy,season_c,sorghum
101.56,50.5,34.95,28.04,23.03,55.3,6.74,561.09,loam,season_b,sorghum
61.23,28.88,66.19,35.01,35.73,78.1,5.06,871.12,sandy,season_b,sorghum
73.5,61.53,55.92,44.87,28.66,56.7,7.79,456.79,clay,season_c,sorghum
109.02,58.72,58.08,31.61,32.13,55.1,7.79,367.13,loam,season_b,sorghum
78.25,63.15,31.51,64.89,19.8,79.1,7.52,762.11,loam,season_b,sorghum
72.48,59.47,41.64,56.34,29.58,58.6,7.25,390.55,loam,season_b,sorghum
121.6,30.0,48.38,37.42,33.7,64.8,6.9,364.62,loam,season_c,sorghum
95.51,36.53,57.07,43.44,30.22,69.8,7.73,430.7,loam,season_b,sorghum
65.68,60.05,27.91,46.45,30.55,75.8,5.33,554.31,sandy,season_c,sorghum
114.29,52.91,31.62,46.04,24.55,69.8,5.47,938.24,sandy,season_b,sorghum
54.84,63.2,72.88,45.85,32.26,66.2,8.46,351.13,sandy,season_b,sorghum
99.55,41.32,54.26,29.77,30.95,58.9,6.15,853.53,loam,season_c,sorghum
77.34,37.06,30.27,34.65,32.72,72.5,5.75,455.34,clay,season_b,sorghum
81.92,46.55,76.76,32.37,24.91,63.0,5.38,403.48,clay,season_b,sorghum
112.72,51.85,28.67,56.69,25.9,57.7,6.02,566.33,sandy,season_b,sorghum
102.33,36.65,72.77,28.68,27.06,68.6,7.47,504.91,sandy,season_c,sorghum
116.26,29.44,21.89,59.27,37.53,58.9,7.92,558.01,clay,season_c,sorghum
95.73,36.61,64.51,28.36,21.93,82.1,6.59,434.7,sandy,season_c,sorghum
58.17,43.64,34.59,47.57,33.35,66.8,5.39,756.26,clay,season_c,sorghum
65.35,31.48,37.32,61.56,19.79,73.6,5.83,502.48,loam,season_b,sorghum
59.44,37.34,33.17,34.54,34.3,70.8,7.13,825.26,clay,season_b,sorghum
109.62,40.1,52.07,44.47,34.72,70.1,6.43,464.29,loam,season_b,sorghum
49.33,58.42,37.38,58.33,27.97,65.7,7.05,457.59,clay,season_c,sorghum
72.45,35.99,51.56,55.14,32.07,77.9,8.05,693.9,loam,season_c,sorghum
120.29,62.11,34.86,35.83,25.76,77.1,6.34,703.11,clay,season_b,sorghum
128.67,47.75,53.64,31.53,37.64,81.4,6.72,512.52,sandy,season_b,sorghum
54.6,33.45,33.8,46.14,19.15,82.5,5.68,383.95,clay,season_c,sorghum
126.18,59.87,39.84,24.35,30.12,82.5,7.74,899.47,sandy,season_c,sorghum
79.08,64.09,43.99,27.76,24.79,59.1,5.52,973.06,clay,season_c,sorghum
102.89,30.93,77.0,53.36,36.53,78.6,5.75,714.04,sandy,season_b,sorghum
73.31,53.14,28.54,54.89,36.9,83.5,6.36,1005.88,loam,season_b,sorghum
62.53,37.15,67.79,49.81,31.11,58.1,6.74,528.44,sandy,season_c,sorghum
66.76,39.6,98.73,75.01,29.63,75.1,6.58,684.44,loam,season_a,sweet_potato
59.79,58.96,72.86,64.99,27.56,56.4,6.06,784.76,loam,season_b,sweet_potato
79.52,44.37,88.74,41.13,24.76,80.9,6.38,1001.97,loam,season_b,sweet_potato
43.17,69.92,64.33,47.17,31.5,57.2,5.53,724.46,loam,season_b,sweet_potato
83.27,68.47,51.96,58.27,26.32,69.5,5.44,1209.26,sandy,season_a,sweet_potato
56.13,31.5,61.09,44.21,27.29,76.7,6.5,659.39,loam,season_b,sweet_potato
57.32,24.06,92.23,69.68,20.01,65.8,6.01,642.91,volcanic,season_b,sweet_potato
59.1,27.99,58.27,47.76,20.15,80.3,5.86,766.74,sandy,season_b,sweet_potato
51.54,52.05,59.41,68.42,23.49,68.4,5.79,821.63,volcanic,season_b,sweet_potato
85.55,29.91,104.8,37.58,27.42,79.2,5.99,1108.51,loam,season_b,sweet_potato
103.72,64.77,78.39,56.24,29.26,69.2,6.73,830.72,loam,season_a,sweet_potato
108.03,59.94,85.17,68.94,28.49,75.3,6.33,541.67,loam,season_b,sweet_potato
